;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
427;Casa;Bellavista;1;1;0;80;800.0;;75.0
428;Casa;Los Olivos;1;0;0;41;800.0;;
429;Habitación;San Borja;1;0;0;30;850.0;550.0;54.0
430;Habitación;Lurín;1;0;0;30;1200.0;470.0;
431;Casa en condominio;Ate;4;2;2;600;30000.0;1100.0;1399.0
432;Casa comercial;Punta Hermosa;0;0;0;215;7900.0;;310.0
433;Casa en condominio;Ate;4;3;4;350;7000.0;934.0;890.0
434;Casa;Mi Perú;5;0;2;270;3000.0;;
435;Casa en condominio;San Borja;3;1;2;130;8000.0;;80.0
436;Casa;Lince;3;1;1;100;1800.0;;
437;Habitación;Puente Piedra;1;0;0;19;1100.0;256.0;
438;Casa en condominio;Villa El Salvador;3;2;3;350;8000.0;1300.0;
439;Casa en condominio;Callao;3;2;1;225;4500.0;465.0;1311.0
440;Casa de villa;Barranco;1;0;0;22;450.0;131.0;17.0
441;Casa en condominio;Chorrillos;1;4;0;400;18000.0;;
442;Casa en condominio;Ate;5;4;5;700;16000.0;2150.0;17000.0
443;Casa de villa;Carabayllo;1;0;0;30;480.0;;
444;Casa en condominio;El Agustino;3;1;1;200;1400.0;;
445;Casa de villa;La Perla;2;1;0;80;1000.0;;
446;Casa de villa;Callao;2;0;0;61;1100.0;30.0;13.0
447;Casa en condominio;Ate;4;8;4;700;18000.0;1700.0;2700.0
448;Casa;Ate;6;4;4;480;20000.0;1100.0;
449;Casa;Punta Hermosa;4;0;2;85;8900.0;;
450;Habitación;San Borja;0;0;0;26;1850.0;500.0;
451;Casa;Lince;3;2;2;134;1700.0;;
452;Habitación;Pachacámac;0;0;0;33;800.0;277.0;103.0
453;Habitación;Pachacámac;0;0;0;32;600.0;508.0;20.0
454;Habitación;Pachacámac;0;0;0;30;1100.0;420.0;25.0
455;Casa en condominio;Ate;4;8;1;400;7000.0;800.0;780.0
456;Habitación;Rímac;1;0;0;30;1800.0;465.0;62.0
457;Casa comercial;Chorrillos;0;0;0;390;12000.0;;291.0
458;Casa comercial;Chorrillos;11;4;3;400;8000.0;;2190.0
459;Habitación;San Borja;1;0;0;30;1600.0;400.0;
460;Habitación;San Borja;1;0;0;32;2300.0;;
461;Habitación;San Miguel;1;0;0;28;1200.0;300.0;20.0
462;Casa en condominio;Ate;5;3;3;1750;15000.0;2900.0;1798.0
463;Casa;Villa El Salvador;2;1;1;78;1500.0;;
464;Casa comercial;Punta Negra;0;0;0;108;3000.0;;
465;Casa;Ate;5;0;5;800;30000.0;2333.0;2899.0
466;Casa;Mi Perú;3;0;3;180;4500.0;;
467;Casa en condominio;Carabayllo;3;2;0;88;2100.0;430.0;320.0
468;Casa;Ate;1;0;0;39;600.0;;16.0
469;Casa en condominio;Ate;4;3;1;400;8500.0;880.0;780.0
470;Casa en condominio;Jesús María;4;2;4;250;8000.0;1800.0;3600.0
471;Casa;Lince;2;1;0;90;1500.0;;
472;Habitación;Chorrillos;1;0;0;31;2100.0;341.0;53.0
473;Casa en condominio;Ate;4;2;1;350;7500.0;957.0;
474;Casa comercial;Lince;0;0;0;300;12000.0;;
475;Casa en condominio;Villa El Salvador;1;1;0;35;800.0;250.0;
476;Casa;Ventanilla;3;0;0;100;3000.0;;2190.0
477;Casa;Ate;4;3;1;350;7500.0;970.0;635.0
478;Casa;Lince;2;0;0;70;900.0;;30.0
479;Casa;Jesús María;5;0;5;240;5000.0;;
480;Habitación;Pachacámac;0;0;0;26;950.0;315.0;21.0
481;Habitación;San Borja;1;0;0;35;2500.0;500.0;40.0
482;Casa comercial;Chorrillos;0;2;0;500;12000.0;;2543.0
483;Habitación;Chorrillos;1;0;0;24;1100.0;520.0;
484;Casa de villa;El Agustino;0;0;0;20;600.0;;
485;Habitación;San Borja;1;1;0;42;1850.0;500.0;70.0
486;Casa;Chorrillos;3;4;1;316;1950.0;;187.0
487;Habitación;Pachacámac;0;0;0;20;950.0;240.0;20.0
488;Casa comercial;Chorrillos;0;2;0;261;18000.0;;1609.0
489;Casa comercial;Pachacámac;0;0;0;330;5900.0;;4445.0
490;Casa en condominio;Chorrillos;3;0;2;150;5400.0;400.0;200.0
491;Casa en condominio;Jesús María;5;2;5;290;4000.0;1100.0;
492;Casa comercial;Lince;0;0;0;220;45000.0;;
493;Casa en condominio;Jesús María;3;2;3;168;4500.0;;
494;Casa;San Isidro;3;3;1;360;2495.0;;
495;Casa en condominio;San Isidro;2;1;0;70;900.0;;
496;Casa comercial;San Luis;0;4;0;800;14000.0;;1245.0
497;Casa;Ate;5;2;3;580;4500.0;840.0;
498;Casa;Punta Hermosa;3;0;2;408;29000.0;850.0;6000.0
499;Casa en condominio;Ate;8;7;5;1000;18000.0;2150.0;2500.0
500;Casa en condominio;Ate;6;3;3;521;12000.0;1800.0;1100.0
501;Casa en condominio;Chorrillos;2;1;0;81;1000.0;90.0;252.0
502;Habitación;San Borja;1;0;0;30;2000.0;410.0;30.0
503;Casa en condominio;Villa El Salvador;3;3;3;531;10000.0;1562.0;400.0
504;Casa de villa;Santiago de Surco;1;0;0;50;620.0;;
505;Casa en condominio;Jesús María;4;4;3;268;7500.0;650.0;545.0
506;Habitación;Pucusana;0;0;0;20;700.0;265.0;15.0
507;Casa en condominio;La Perla;6;10;6;1500;25000.0;8300.0;3650.0
508;Casa en condominio;Ate;4;4;4;350;7000.0;750.0;
509;Casa;Santa Anita;3;0;0;98;2200.0;;18.0
510;Casa en condominio;Ate;5;4;5;765;13900.0;2500.0;3000.0
511;Casa en condominio;Jesús María;4;2;4;325;8000.0;850.0;500.0
512;Casa;Lince;5;4;1;300;10000.0;;
513;Casa en condominio;Ate;3;4;1;350;8500.0;1172.0;721.0
514;Habitación;Pachacámac;1;0;0;28;950.0;350.0;
515;Casa en condominio;Lince;2;1;0;90;600.0;300.0;
516;Habitación;San Borja;1;0;0;28;1100.0;580.0;25.0
517;Casa;Ate;5;3;0;250;12000.0;;550.0
518;Casa de villa;San Luis;1;0;0;25;900.0;;
519;Habitación;Lurín;1;0;0;29;850.0;364.0;29.0
520;Casa en condominio;Ate;5;3;4;350;12000.0;850.0;
521;Casa;Jesús María;7;6;4;587;8000.0;;
522;Casa;Lince;2;2;0;60;1000.0;;
523;Casa comercial;Pueblo Libre;0;1;0;500;26000.0;;2550.0
524;Casa en condominio;Rímac;4;3;4;600;15000.0;3250.0;2300.0
525;Casa;Mi Perú;1;0;0;35;1000.0;;
526;Habitación;San Borja;0;0;0;36;100.0;;
527;Habitación;Mi Perú;1;0;0;20;450.0;;
528;Habitación;Santiago de Surco;1;0;0;40;2100.0;300.0;200.0
529;Casa en condominio;Jesús María;4;3;4;380;6000.0;500.0;
530;Casa;San Miguel;6;4;2;550;18500.0;;
531;Habitación;Lince;1;0;0;20;300.0;15.0;7.0
532;Casa;Jesús María;4;2;2;353;9000.0;;
533;Casa en condominio;San Luis;4;2;1;150;2500.0;250.0;1400.0
534;Habitación;Villa El Salvador;1;0;0;23;1500.0;360.0;270.0
535;Casa;San Miguel;1;0;0;40;800.0;;
536;Habitación;Lurín;1;0;0;26;1050.0;350.0;
537;Habitación;Punta Hermosa;1;0;0;24;1300.0;428.0;29.0
538;Casa;San Luis;3;2;0;188;4000.0;;344.0
539;Casa;Mi Perú;2;1;1;80;1200.0;;
540;Casa en condominio;Ate;5;4;4;1008;10000.0;1129.0;1486.0
541;Casa en condominio;Lince;3;6;1;312;3200.0;845.0;396.0
542;Casa de villa;El Agustino;2;0;0;70;1010.0;;
543;Casa en condominio;Jesús María;4;3;4;239;4500.0;1300.0;
544;Casa en condominio;Jesús María;4;2;1;348;8500.0;1003.0;6968.0
545;Habitación;Villa El Salvador;0;0;0;30;2100.0;420.0;30.0
546;Habitación;Punta Hermosa;1;0;0;23;1000.0;400.0;25.0
547;Habitación;Villa El Salvador;1;0;0;26;1100.0;390.0;
548;Casa en condominio;Ate;5;4;5;790;25000.0;1350.0;3400.0
549;Casa;Pucusana;14;0;14;350;9500.0;;600.0
550;Casa en condominio;Pucusana;2;0;0;90;1300.0;1500.0;20.0
551;Casa;Lince;4;3;2;230;4500.0;;180.0
552;Habitación;Santa María del Mar;1;0;0;30;750.0;;
553;Casa;Lince;4;1;0;140;1700.0;;
554;Casa de villa;Carmen de La Legua;1;0;0;50;600.0;;
555;Habitación;Punta Hermosa;1;0;0;26;1250.0;450.0;29.0
556;Casa;San Luis;2;1;1;79;900.0;;
557;Casa comercial;Ate;0;5;0;360;20000.0;;1000.0
558;Casa;Ate;4;4;2;600;30000.0;1100.0;1328.0
559;Casa en condominio;Jesús María;5;2;2;450;12000.0;1350.0;850.0
560;Casa de villa;Santiago de Surco;1;0;0;40;700.0;140.0;
561;Casa de villa;Chorrillos;2;0;0;60;2400.0;120.0;
562;Casa de villa;Ancón;1;0;0;20;400.0;;
563;Casa en condominio;Jesús María;5;0;5;700;35000.0;1650.0;1700.0
564;Casa;Breña;3;3;3;493;20000.0;3700.0;1515.0
565;Casa comercial;Chorrillos;5;0;0;400;10990.0;;2000.0
566;Casa;Chorrillos;7;0;4;275;16000.0;;622.0
567;Habitación;Rímac;1;0;0;30;1800.0;550.0;62.0
568;Casa en condominio;Ancón;2;1;2;75;1600.0;;
569;Casa en condominio;Ate;5;4;5;1100;40000.0;2135.0;
570;Habitación;Pachacámac;1;0;0;25;700.0;260.0;20.0
571;Habitación;Pachacámac;2;0;0;40;1200.0;625.0;85.0
572;Casa;Jesús María;3;4;2;600;6000.0;;1200.0
573;Habitación;San Borja;0;0;0;20;1300.0;120.0;
574;Casa comercial;Santa Anita;3;1;0;98;2000.0;;5726.0
575;Habitación;Comas;1;0;0;40;400.0;240.0;
576;Casa en condominio;La Perla;5;3;1;429;13000.0;1000.0;769.0
577;Casa en condominio;Lince;2;1;0;100;650.0;100.0;
578;Casa;La Molina;2;0;1;150;1800.0;;15.0
579;Casa;Mi Perú;2;1;0;60;900.0;;
580;Casa en condominio;Mi Perú;2;1;0;60;800.0;300.0;
581;Casa en condominio;Jesús María;6;6;4;800;8500.0;;
582;Casa en condominio;Ate;5;3;2;480;8000.0;800.0;700.0
583;Casa comercial;Pachacámac;0;0;0;320;7000.0;;937.0
584;Casa en condominio;Ate;5;3;4;300;9000.0;820.0;6370.0
585;Casa;Villa María del Triunfo;10;0;10;976;20000.0;;
586;Habitación;Cieneguilla;1;0;0;30;450.0;;
587;Casa comercial;Chorrillos;0;2;0;700;25000.0;;1100.0
588;Casa en condominio;Ate;4;4;4;760;23009.0;2080.0;
589;Casa;La Perla;5;3;3;840;26000.0;;1200.0
590;Casa;Lince;3;0;0;110;1600.0;;
591;Casa en condominio;Ate;4;3;4;350;9000.0;934.0;8865.0
592;Habitación;Pachacámac;1;0;0;19;850.0;300.0;24.0
593;Habitación;Pachacámac;1;0;0;25;800.0;350.0;
594;Casa;Lince;2;0;0;75;1300.0;;
595;Casa en condominio;Ate;5;3;5;600;22000.0;1028.0;18558.0
596;Habitación;Pachacámac;1;0;0;31;750.0;350.0;20.0
597;Habitación;San Borja;1;0;0;33;1900.0;450.0;57.0
598;Casa en condominio;Lurigancho;4;6;4;600;50000.0;;
599;Casa en condominio;Ate;4;6;3;681;18000.0;1907.0;1941.0
600;Casa;Villa María del Triunfo;2;3;2;300;7500.0;;
601;Habitación;Chorrillos;1;0;0;32;1800.0;470.0;30.0
602;Casa en condominio;Ate;5;3;2;350;12000.0;1908.0;1270.0
603;Casa;Ancón;2;0;0;180;1450.0;;
604;Casa;Jesús María;4;0;0;686;9000.0;;
605;Casa de villa;Santa María del Mar;2;0;1;50;1200.0;;135.0
606;Casa;Lince;4;4;4;100;2000.0;;2.0
607;Casa;Chorrillos;4;4;3;335;12500.0;;3857.0
608;Casa en condominio;Ate;5;2;3;700;14000.0;1500.0;1100.0
609;Casa;Lince;2;1;0;50;1100.0;;
610;Casa en condominio;Jesús María;4;4;3;213;3800.0;1234.0;335.0
611;Casa;Lurigancho;4;3;4;700;35000.0;;1642.0
612;Casa en condominio;Ate;5;4;4;622;10000.0;1390.0;14000.0
613;Casa;La Perla;4;4;3;506;18000.0;1300.0;14000.0
614;Habitación;Chaclacayo;1;0;0;23;900.0;363.0;25.0
615;Casa de villa;Ventanilla;4;2;1;78;2300.0;50.0;25.0
616;Casa;La Punta;2;0;0;55;1000.0;;
617;Casa en condominio;Villa El Salvador;1;1;1;100;1750.0;220.0;
618;Casa de villa;Mi Perú;2;0;0;57;1100.0;25.0;
619;Casa;Ate;4;4;4;500;15000.0;974.0;
620;Casa de villa;San Luis;2;1;0;60;1100.0;200.0;14.0
621;Casa;Lince;1;0;0;40;600.0;;
622;Casa;Lince;2;3;0;70;1500.0;;
623;Casa;Punta Hermosa;5;6;3;1000;28000.0;2650.0;1550.0
624;Casa;Lurín;4;0;0;289;4200.0;190.0;384.0
625;Habitación;San Miguel;1;0;0;30;950.0;193.0;24.0
626;Casa;Santiago de Surco;1;0;0;36;800.0;;
627;Casa;Lurigancho;4;2;2;380;15000.0;;6700.0
628;Habitación;Villa El Salvador;1;0;0;30;1600.0;320.0;20.0
629;Casa;Pueblo Libre;2;0;0;60;700.0;;
630;Casa en condominio;Ate;4;4;4;341;9000.0;850.0;766.0
631;Casa en condominio;Ate;4;5;3;453;8500.0;520.0;684.0
632;Casa;San Isidro;1;1;0;50;650.0;;
633;Casa en condominio;Ate;4;3;3;600;7800.0;1001.0;955.0
634;Casa;San Luis;2;1;0;60;900.0;;
635;Casa en condominio;Ate;4;3;4;600;15000.0;2200.0;1000.0
636;Casa;Jesús María;7;0;3;600;12000.0;;6000.0
637;Casa;Pueblo Libre;6;2;3;700;19000.0;;
638;Habitación;Lurín;1;0;0;30;1000.0;403.0;
639;Casa;Ate;3;4;1;222;4700.0;735.0;247.0
640;Habitación;Surquillo;0;0;0;25;1000.0;400.0;25.0
641;Casa en condominio;Lince;3;2;2;120;2200.0;100.0;
642;Casa;San Luis;4;1;0;120;2000.0;633.0;
643;Casa;Santa Anita;2;0;0;55;1100.0;100.0;
644;Habitación;San Miguel;1;0;0;25;1200.0;381.0;25.0
645;Casa;El Agustino;2;1;0;50;1000.0;;120.0
646;Habitación;Punta Hermosa;1;0;0;27;1000.0;460.0;25.0
647;Casa de villa;Independencia;3;0;0;120;1200.0;;
648;Casa;Ate;3;5;0;250;2400.0;;650.0
649;Casa;Ancón;2;1;0;60;900.0;;
650;Casa;Mi Perú;4;0;0;90;3500.0;;
651;Casa en condominio;Ate;6;0;6;750;12000.0;1980.0;1200.0
652;Casa en condominio;Ate;4;2;1;400;7900.0;1500.0;
653;Casa;San Miguel;10;0;0;1050;45000.0;;51784.0
654;Casa;Mi Perú;2;0;0;68;1000.0;;
655;Casa en condominio;Rímac;6;2;2;350;18000.0;3400.0;1351.0
656;Habitación;Lurín;1;0;0;26;1200.0;441.0;
657;Casa;Ancón;3;1;0;65;1000.0;;
658;Casa;El Agustino;2;1;0;60;600.0;;
659;Casa;Mi Perú;2;0;0;80;800.0;100.0;
660;Casa en condominio;Ate;5;4;4;450;6499.0;1150.0;800.0
661;Casa;Lince;2;0;1;60;800.0;;
662;Casa en condominio;San Juan de Miraflores;3;1;0;111;2300.0;80.0;200.0
663;Habitación;Pucusana;0;1;0;50;800.0;493.0;
664;Casa de villa;La Perla;1;0;0;41;600.0;67.0;
665;Casa en condominio;Ate;4;4;4;315;15000.0;1200.0;850.0
666;Casa en condominio;Ancón;2;1;0;72;1000.0;160.0;
667;Casa comercial;Punta Negra;0;0;0;72;1500.0;;91.0
668;Habitación;Magdalena del Mar;1;0;0;30;400.0;;
669;Casa en condominio;Ate;4;2;4;300;9000.0;950.0;5500.0
670;Casa en condominio;Jesús María;3;2;3;190;2000.0;1270.0;400.0
671;Habitación;San Borja;1;0;1;22;1500.0;265.0;242.0
672;Casa en condominio;Ate;5;3;5;291;12000.0;550.0;4950.0
673;Habitación;San Borja;1;0;1;28;1200.0;450.0;28.0
674;Habitación;San Bartolo;1;0;0;34;1350.0;600.0;24.0
675;Habitación;Pachacámac;0;0;0;28;800.0;303.0;20.0
676;Habitación;San Borja;1;0;0;42;1280.0;410.0;30.0
677;Casa en condominio;Ate;4;2;4;585;17000.0;1748.0;1210.0
678;Casa;Lince;3;1;0;80;1000.0;;
679;Casa en condominio;Lince;2;3;0;100;1400.0;85.0;
680;Casa comercial;Lurigancho;0;0;0;300;17000.0;;
681;Casa;La Punta;4;2;2;400;11000.0;;
682;Habitación;Comas;0;0;0;30;1700.0;567.0;7670.0
683;Casa;Santiago de Surco;5;1;3;320;17000.0;;396.0
684;Casa;Lince;2;1;0;100;1200.0;;
685;Casa;Pucusana;3;2;1;200;4000.0;;20.0
686;Casa;Lince;2;0;0;60;700.0;;
687;Casa en condominio;Lince;2;1;0;74;1100.0;300.0;
688;Casa en condominio;Ate;6;6;6;1000;24009.0;;
689;Casa en condominio;Punta Hermosa;3;3;1;400;7000.0;;3000.0
690;Habitación;Villa El Salvador;0;0;0;32;1200.0;315.0;53.0
691;Casa;Villa El Salvador;5;3;2;759;8000.0;700.0;400.0
692;Habitación;Comas;1;0;0;37;1800.0;400.0;70.0
693;Casa;La Perla;4;3;2;400;7000.0;1.0;
694;Habitación;San Borja;1;0;0;30;1300.0;435.0;
695;Habitación;San Borja;1;0;0;35;1800.0;350.0;57.0
696;Casa;Lince;2;1;0;90;1300.0;;
697;Casa en condominio;Ate;4;3;4;500;10000.0;1050.0;1300.0
698;Casa en condominio;Ate;5;4;5;1200;45000.0;2100.0;25000.0
699;Casa en condominio;Rímac;2;1;0;70;1100.0;;
700;Casa;Bellavista;2;1;0;98;990.0;;
701;Casa comercial;Lince;2;0;1;50;25000.0;;
702;Casa en condominio;Lince;2;1;0;70;900.0;200.0;
703;Casa;Punta Hermosa;3;2;1;300;7000.0;290.0;
704;Casa comercial;Pachacámac;0;0;0;42;900.0;1140.0;175.0
705;Casa;Mi Perú;2;1;0;60;800.0;;
706;Casa en condominio;Mi Perú;5;0;3;520;4900.0;723.0;519.0
707;Casa en condominio;Jesús María;4;4;4;600;20000.0;1800.0;
708;Casa en condominio;Chaclacayo;3;4;1;160;3500.0;;152.0
709;Casa;Punta Hermosa;2;0;0;46;1850.0;179.0;29.0
710;Habitación;Villa El Salvador;1;0;0;35;800.0;230.0;
711;Casa;Lince;3;2;1;100;;;
712;Habitación;Pachacámac;1;0;0;35;650.0;398.0;
713;Casa en condominio;Jesús María;4;2;4;260;7000.0;7068.0;5998.0
714;Casa;Pucusana;5;7;3;388;35000.0;;277.0
715;Habitación;Lurín;1;0;0;30;2000.0;480.0;27.0
716;Casa comercial;Chorrillos;0;3;0;433;17000.0;;28419.0
717;Habitación;Villa El Salvador;0;0;0;30;900.0;447.0;29.0
718;Casa de villa;San Miguel;2;0;0;78;1700.0;35.0;
719;Habitación;San Borja;0;0;0;22;1100.0;493.0;25.0
720;Habitación;Rímac;0;0;0;50;2100.0;600.0;61.0
721;Habitación;Pachacámac;1;0;0;30;750.0;330.0;25.0
722;Casa en condominio;Ate;4;3;4;980;22000.0;1400.0;800.0
723;Habitación;Pachacámac;1;0;0;25;700.0;292.0;24.0
724;Casa en condominio;Villa El Salvador;2;1;0;75;2000.0;580.0;
725;Habitación;Chorrillos;1;0;0;21;1000.0;350.0;291.0
726;Casa en condominio;Ate;3;2;0;230;5800.0;1400.0;440.0
727;Casa comercial;Villa El Salvador;8;8;2;1000;28000.0;;300.0
728;Casa;Santa Anita;2;0;0;57;900.0;;
729;Habitación;San Borja;1;0;0;28;1000.0;567.0;
730;Habitación;Chorrillos;1;0;0;20;1100.0;481.0;29.0
731;Habitación;Pachacámac;0;0;0;30;1000.0;480.0;
732;Habitación;Villa El Salvador;1;0;0;28;1300.0;350.0;25.0
733;Casa comercial;Ventanilla;0;3;0;80;2500.0;;290.0
734;Casa en condominio;Ate;4;3;4;340;10000.0;1100.0;550.0
735;Habitación;Pachacámac;1;0;0;25;800.0;200.0;25.0
736;Casa;Pachacámac;5;3;0;233;3000.0;;659.0
737;Casa comercial;Chorrillos;0;0;0;280;16000.0;;1166.0
738;Casa en condominio;Lince;1;0;0;50;700.0;;
739;Casa;Lince;3;2;1;239;3750.0;;
740;Habitación;Chorrillos;1;0;0;21;800.0;350.0;
741;Casa en condominio;Lince;2;1;0;55;1000.0;;
742;Casa en condominio;Jesús María;4;5;4;500;10500.0;1000.0;
743;Habitación;Chorrillos;1;0;0;28;1100.0;481.0;25.0
744;Casa;Lince;2;1;0;80;900.0;;
745;Habitación;San Borja;1;0;0;25;1000.0;385.0;
746;Casa comercial;Chorrillos;0;1;0;118;10000.0;;627.0
747;Habitación;Chorrillos;0;0;0;24;1100.0;417.0;
748;Casa en condominio;San Luis;2;1;0;55;1000.0;450.0;
749;Casa;Jesús María;4;3;1;316;4600.0;830.0;
750;Casa;Lurigancho;4;4;3;450;20000.0;;1750.0
751;Habitación;Santiago de Surco;0;0;0;15;700.0;;
752;Casa comercial;Lince;0;0;0;100;13000.0;;
753;Casa en condominio;Ate;5;4;3;622;10000.0;1390.0;1486.0
754;Habitación;Carmen de La Legua;1;0;0;25;490.0;15.0;
755;Casa;La Punta;2;0;1;60;1550.0;100.0;
756;Casa comercial;Santiago de Surco;0;0;0;272;7000.0;;2225.0
757;Casa en condominio;Ate;4;3;2;434;7500.0;2694.0;1150.0
758;Casa en condominio;Villa El Salvador;5;3;5;300;6000.0;1300.0;200.0
759;Casa;San Luis;3;1;1;106;2300.0;180.0;57.0
760;Casa en condominio;Ate;5;4;4;622;10000.0;1390.0;1486.0
761;Casa en condominio;Lince;2;1;1;90;1700.0;208.0;35.0
762;Casa;Santa Rosa;1;0;0;35;800.0;;
763;Habitación;Comas;1;0;0;30;2400.0;455.0;133.0
764;Habitación;Pachacámac;1;0;0;42;850.0;543.0;26.0
765;Casa;La Perla;0;0;0;160;15000.0;;426.0
766;Casa;Ventanilla;1;0;0;27;800.0;;
767;Habitación;San Borja;1;0;0;21;1700.0;470.0;291.0
768;Casa en condominio;Ate;6;8;0;924;13000.0;2214.0;1060.0
769;Casa de villa;Ventanilla;2;0;0;55;1500.0;30.0;21.0
770;Casa en condominio;Ate;4;4;4;850;18009.0;1560.0;
771;Habitación;Villa El Salvador;1;0;0;20;1400.0;360.0;27.0
772;Casa en condominio;Pucusana;6;3;5;300;25000.0;;
773;Casa;Lince;2;0;0;100;1500.0;;
774;Casa;Bellavista;1;0;0;30;400.0;;
775;Casa en condominio;Ate;8;4;4;986;15000.0;1543.0;2082.0
776;Casa de villa;Comas;3;2;0;130;6000.0;;190.0
777;Habitación;Pachacámac;0;0;0;32;600.0;401.0;25.0
778;Casa de villa;Santa María del Mar;1;0;0;50;1000.0;90.0;
779;Casa en condominio;Ate;4;4;2;360;6500.0;1145.0;889.0
780;Casa;Carmen de La Legua;1;0;0;32;500.0;;
781;Casa en condominio;Ate;4;3;4;320;9000.0;500.0;5000.0
782;Casa en condominio;Ate;4;3;2;410;8500.0;870.0;8100.0
783;Casa de villa;Lurigancho;2;0;1;50;3000.0;65.0;118.0
784;Casa en condominio;Lince;3;5;2;250;4000.0;250.0;348.0
785;Casa;Ate;5;3;5;615;18000.0;2300.0;
786;Casa comercial;Chaclacayo;3;0;0;67;1600.0;;
787;Casa;Lince;2;1;0;80;1215.0;;
788;Casa;Santa Rosa;2;0;0;60;550.0;;
789;Habitación;San Borja;1;0;0;45;1700.0;442.0;57.0
790;Casa;Carmen de La Legua;1;0;1;50;1000.0;;
791;Casa;Bellavista;2;1;0;90;1500.0;;
792;Casa;Lince;2;1;0;80;1290.0;;
793;Casa en condominio;Jesús María;3;2;3;241;4000.0;900.0;
794;Casa comercial;La Punta;0;0;0;301;39000.0;;452.0
795;Casa comercial;Breña;0;0;0;220;16000.0;;
796;Casa comercial;La Punta;0;2;0;461;55400.0;9696.0;692.0
797;Casa en condominio;Ate;4;3;2;260;8000.0;900.0;530.0
798;Casa en condominio;Ate;4;0;1;265;12000.0;870.0;5232.0
799;Habitación;Pachacámac;1;0;0;18;950.0;397.0;24.0
800;Habitación;Chorrillos;1;0;1;21;1600.0;375.0;242.0
801;Casa de villa;Santa Rosa;2;0;0;61;1000.0;;
802;Habitación;Chorrillos;1;0;0;18;1200.0;456.0;25.0
803;Habitación;Mi Perú;1;0;0;40;900.0;250.0;10.0
804;Habitación;Pachacámac;1;0;0;25;1750.0;;
805;Casa en condominio;San Luis;4;4;2;680;4500.0;400.0;300.0
806;Casa comercial;Lurín;0;0;0;492;35000.0;;
807;Habitación;Villa El Salvador;1;0;0;22;1400.0;480.0;53.0
808;Casa en condominio;Mi Perú;3;1;1;405;4200.0;700.0;388.0
809;Habitación;La Punta;1;0;0;35;1100.0;495.0;
810;Casa en condominio;Ate;4;3;4;600;15000.0;2200.0;1000.0
811;Habitación;Santiago de Surco;1;0;0;18;600.0;150.0;25.0
812;Casa;Cieneguilla;1;0;0;50;600.0;;
813;Casa comercial;Chorrillos;0;8;0;465;26000.0;;3545.0
814;Casa en condominio;Ate;5;4;4;622;10000.0;1390.0;1514.0
815;Casa en condominio;Jesús María;4;4;2;240;4200.0;1500.0;360.0
816;Habitación;San Borja;1;0;0;30;1000.0;488.0;54.0
817;Casa;Ate;5;5;0;341;8200.0;;794.0
818;Casa de villa;Villa El Salvador;2;0;0;50;870.0;;2.0
819;Casa en condominio;San Luis;4;4;4;300;5000.0;690.0;
820;Casa en condominio;San Luis;4;3;4;320;5000.0;690.0;
821;Casa en condominio;San Juan de Lurigancho;4;3;1;379;15000.0;1100.0;536.0
822;Habitación;Chorrillos;1;0;0;18;1000.0;436.0;25.0
823;Casa en condominio;Villa El Salvador;3;3;1;150;2500.0;150.0;
824;Casa;La Punta;5;0;3;265;8400.0;;
825;Casa en condominio;Jesús María;5;3;5;350;6000.0;495.0;296.0
826;Casa;Lince;2;1;0;127;2500.0;;
827;Casa comercial;Jesús María;0;2;0;360;15000.0;;6072.0
828;Casa en condominio;La Perla;4;2;2;500;12000.0;579.0;1438.0
829;Casa;Lince;3;7;1;212;1500.0;;846.0
830;Casa en condominio;Ate;4;4;4;1000;24000.0;2214.0;1980.0
831;Casa;Lince;2;1;1;65;800.0;;
832;Casa;Ate;4;4;2;660;30000.0;1050.0;130.0
833;Casa;Punta Hermosa;7;6;5;1000;30000.0;990.0;
834;Casa en condominio;Jesús María;4;8;4;1800;20000.0;;
835;Casa en condominio;Lince;2;1;0;70;700.0;50.0;
836;Casa en condominio;Ate;4;3;1;400;8500.0;970.0;
837;Casa de villa;Santa Anita;2;1;1;65;1500.0;140.0;802.0
838;Casa en condominio;Ate;4;4;3;622;9991.0;1380.0;1486.0
839;Casa en condominio;San Luis;3;5;1;272;3600.0;400.0;2246.0
840;Casa en condominio;Ate;5;4;5;600;10000.0;1600.0;
841;Casa;San Luis;2;0;0;85;1800.0;;82.0
842;Casa en condominio;Ate;5;1;2;250;9000.0;1650.0;500.0
843;Casa en condominio;Jesús María;4;3;3;153;3650.0;900.0;1.0
844;Habitación;Rímac;1;0;0;50;1700.0;560.0;62.0
845;Casa de villa;El Agustino;1;0;0;40;750.0;;
846;Casa en condominio;Jesús María;5;4;4;800;12000.0;1000.0;1300.0
847;Casa comercial;Comas;0;0;0;750;9000.0;;8800.0
848;Casa en condominio;Ancón;3;1;0;65;900.0;170.0;
849;Habitación;Lurín;1;0;0;24;1100.0;357.0;
850;Casa;Lurín;5;3;1;300;15000.0;;
851;Casa;Lince;3;3;0;140;1800.0;;
852;Habitación;Pachacámac;1;0;0;40;1000.0;275.0;20.0
853;Casa;Pachacámac;2;1;1;60;1250.0;;
854;Casa en condominio;Ate;4;3;4;263;7000.0;707.0;
855;Habitación;San Luis;1;0;0;20;500.0;;
